,0¡®s,1¡®s,2¡®s,3¡®s,4¡®s,5¡®s,6¡®s,7¡®s,8¡®s,9¡®s
0's,0,0,0,0,0,0,0,0,0,0
1's,0.007259528,0,0,0,0,0,0,0,0,0
2's,0.020462205,0.028668172,0,0,0,0,0,0,0.00024266,0
3's,0.018391889,0.018153642,0.061459066,0,0,0,0,0,0,0
4's,0.009751341,0.015303792,0.033947624,0.020897649,0,0,0,0,0,0
5's,0.026495079,0.01910828,0.045420326,0.081532417,0.022629036,0,0,0,0,0
6's,0.023222061,0.012018141,0.037295476,0.016262079,0.01754386,0.045145019,0,0,0,0
7's,0.010782935,0.019594892,0.034048507,0.029028571,0.029981114,0.015133024,0.006091846,0,0,0
8's,0.01879424,0.044134461,0.064578781,0.083214456,0.017949348,0.063900204,0.024884118,0.021507918,0,0.000242365
9's,0.011778846,0.017583408,0.028694405,0.04075896,0.075786925,0.036081183,0.012493993,0.081509082,0.048242424,0
